Date,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Volume,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,10Y_Yield,3M_Yield,RSI,VIX,CNN,Put_Call,DXY,BTC_Chg,HYG_Price,Risk_Ratio,IWM_Price,SOXX_Price,NAAIM,SKEW,AAII_Diff,Above_200MA
2026-01-13,6977.41,6985.83,6938.77,6963.74,3224138000,25779.28,25873.18,25642.11,25741.95,1241065000,4.17,3.56,61.7,15.98,56,0.97,99.18,4.48,81.04,1.53,261.35,333.30,97.72,151.60,12.5,64.81
2026-01-14,nan,nan,nan,nan,nan,25779.28,25624.19,25266.20,25465.94,1255242000,4.14,3.56,56.4,16.75,56,0.88,99.06,1.30,81.04,,263.19,331.90,97.72,152.52,12.5,66.20
2026-01-15,6969.46,6979.34,6937.93,6944.47,3127477000,25767.30,25781.03,25520.20,25547.07,1213873000,4.16,3.57,58.5,15.84,62,0.93,99.36,-1.32,81.04,1.49,265.51,337.22,96.01,151.57,21.3,67.13
2026-01-16,6960.54,6967.30,6925.09,6940.01,3990934000,25710.60,25735.48,25444.28,25529.26,1497733000,4.23,3.56,57.7,15.86,62,0.83,99.38,-0.09,81.09,1.49,265.76,342.47,96.01,153.59,21.3,66.53
2026-01-20,6865.24,6871.17,6789.05,6796.86,3891978000,25155.03,25279.78,24954.18,24987.57,1604749000,4.30,3.57,40.4,20.09,48,,98.60,-4.06,80.88,1.45,262.58,337.35,96.01,154.96,21.3,62.94
2026-01-21,6810.71,6910.39,6804.96,6875.62,3815060000,25048.55,25498.81,24993.98,25326.58,1655580000,4.25,3.59,49.0,16.90,50,0.90,98.79,1.80,81.12,1.47,267.79,348.14,96.01,144.41,21.3,66.13
2026-01-22,6914.44,6934.75,6893.62,6913.35,3309135000,25548.38,25576.52,25399.50,25518.35,1262168000,4.25,3.59,52.9,15.64,52,0.85,98.33,0.16,81.18,1.49,269.79,348.67,88.46,141.31,10.5,66.99
2026-01-23,6907.85,6932.96,6895.50,6915.61,3228233000,25501.91,25709.74,25435.02,25605.47,1349379000,4.24,3.58,53.1,16.09,52,0.76,97.46,-0.17,81.14,1.49,264.81,344.71,88.46,144.02,10.5,65.40
2026-01-26,6923.23,6964.66,6921.60,6950.23,2988481000,25631.01,25797.10,25578.76,25713.21,1133128000,4.21,3.58,55.8,16.15,55,0.88,97.07,1.93,81.18,1.48,263.98,343.07,88.46,148.10,10.5,66.79
2026-01-27,6965.96,6988.82,6958.83,6978.60,3227767000,25852.04,25982.59,25791.75,25939.74,1116680000,4.22,3.57,58.5,16.35,64,0.96,95.82,1.10,81.17,1.48,264.73,351.08,88.46,147.25,10.5,66.00
2026-01-28,7002.00,7002.28,6963.46,6978.03,3337820000,26121.74,26165.08,25974.66,26022.79,1284459000,4.25,3.58,58.7,16.35,63,0.76,96.16,-0.12,81.04,1.48,263.30,360.46,88.46,144.98,10.5,65.60
